Dataset,TaskType,Model,Hyperparameters,Accuracy,F1-Score,MSE,Precision,Recall,Notes
Iris,Classification,Logistic Regression,"max_iter=400, balanced=True",0.911111111,0.910714286,,0.915535445,0.911111111,
Iris,Classification,SVM (RBF),"kernel=rbf, C=1.0, balanced=True",0.933333333,0.933259177,,0.93452381,0.933333333,
Iris,Classification,Decision Tree,balanced=True,0.933333333,0.932659933,,0.944444444,0.933333333,
Iris,Classification,Random Forest,"n_estimators=150, balanced=True",0.888888889,0.887766554,,0.898148148,0.888888889,
Iris,Classification,KNN,n_neighbors=7,0.933333333,0.932659933,,0.944444444,0.933333333,
Iris,Classification,GaussianNB,-,0.911111111,0.910714286,,0.915535445,0.911111111,
Iris,Classification,MultinomialNB,-,0.822222222,0.822222222,,0.822222222,0.822222222,
Iris,Classification,AdaBoost,n_estimators=150,0.933333333,0.933259177,,0.93452381,0.933333333,
Digits,Classification,Logistic Regression,"max_iter=400, balanced=True",0.97962963,0.979573253,,0.979729369,0.979550635,
Digits,Classification,SVM (RBF),"kernel=rbf, C=1.0, balanced=True",0.983333333,0.983281473,,0.983795026,0.983152058,
Digits,Classification,Decision Tree,balanced=True,0.85,0.850443068,,0.854316746,0.849847434,
Digits,Classification,Random Forest,"n_estimators=150, balanced=True",0.966666667,0.966276278,,0.967296491,0.966302771,
Digits,Classification,KNN,n_neighbors=7,0.968518519,0.968280214,,0.969171343,0.968297073,
Digits,Classification,GaussianNB,-,0.775925926,0.778403481,,0.830364591,0.775606623,
Digits,Classification,MultinomialNB,-,0.877777778,0.877233446,,0.881124671,0.878035605,
Digits,Classification,AdaBoost,n_estimators=150,0.82962963,0.832515057,,0.842924724,0.829748965,
Wine,Classification,Logistic Regression,"max_iter=400, balanced=True",0.981481481,0.98286091,,0.98245614,0.984126984,
Wine,Classification,SVM (RBF),"kernel=rbf, C=1.0, balanced=True",0.981481481,0.980753809,,0.984848485,0.977777778,
Wine,Classification,Decision Tree,balanced=True,0.944444444,0.948172757,,0.950089127,0.947089947,
Wine,Classification,Random Forest,"n_estimators=150, balanced=True",1,1,,1,1,
Wine,Classification,KNN,n_neighbors=7,0.944444444,0.944516632,,0.943240454,0.952380952,
Wine,Classification,GaussianNB,-,1,1,,1,1,
Wine,Classification,MultinomialNB,-,0.944444444,0.944782803,,0.95140665,0.940740741,
Wine,Classification,AdaBoost,n_estimators=150,0.981481481,0.981117231,,0.979166667,0.984126984,
Breast Cancer,Classification,Logistic Regression,"max_iter=400, balanced=True",0.970760234,0.969067689,,0.965341561,0.973495911,
Breast Cancer,Classification,SVM (RBF),"kernel=rbf, C=1.0, balanced=True",0.976608187,0.975181422,,0.972510823,0.978168808,
Breast Cancer,Classification,Decision Tree,balanced=True,0.888888889,0.882457219,,0.879448909,0.886098131,
Breast Cancer,Classification,Random Forest,"n_estimators=150, balanced=True",0.953216374,0.94973545,,0.952870672,0.946918808,
Breast Cancer,Classification,KNN,n_neighbors=7,0.964912281,0.961773472,,0.973451327,0.953125,
Breast Cancer,Classification,GaussianNB,-,0.935672515,0.930654378,,0.935394933,0.926620911,
Breast Cancer,Classification,MultinomialNB,-,0.83625731,0.80214876,,0.896296296,0.78125,
Breast Cancer,Classification,AdaBoost,n_estimators=150,0.959064327,0.955870968,,0.960879285,0.951591706,
Diabetes,Regression,Linear Regression,-,,,2821.750981,,,
Diabetes,Regression,SVR,C=1.0,,,4528.179513,,,
Diabetes,Regression,Decision Tree Regressor,max_depth=None,,,5640.406015,,,
Diabetes,Regression,Random Forest Regressor,n_estimators=150,,,2859.301678,,,
Diabetes,Regression,KNN Regressor,n_neighbors=7,,,3160.021482,,,
Diabetes,Regression,Bagging Regressor,n_estimators=100,,,2919.195983,,,
Linnerud,Regression,Linear Regression,-,,,242.1475763,,,
Linnerud,Regression,SVR,C=1.0,,,170.521909,,,
Linnerud,Regression,Decision Tree Regressor,max_depth=None,,,334.0555556,,,
Linnerud,Regression,Random Forest Regressor,n_estimators=150,,,190.9194099,,,
Linnerud,Regression,KNN Regressor,n_neighbors=7,,,109.4319728,,,
Linnerud,Regression,Bagging Regressor,n_estimators=100,,,189.7401944,,,
make_classification,Classification,Logistic Regression,"max_iter=400, balanced=True",0.597222222,0.589010483,,0.593262031,0.597670942,
make_classification,Classification,SVM (RBF),"kernel=rbf, C=1.0, balanced=True",0.822222222,0.822315816,,0.824736082,0.822469732,
make_classification,Classification,Decision Tree,balanced=True,0.727777778,0.728282611,,0.731313131,0.728088756,
make_classification,Classification,Random Forest,"n_estimators=150, balanced=True",0.841666667,0.841921982,,0.842010898,0.841890833,
make_classification,Classification,KNN,n_neighbors=7,0.777777778,0.777374596,,0.782240254,0.777861889,
make_classification,Classification,GaussianNB,-,0.625,0.612529566,,0.637943587,0.625081024,
make_classification,Classification,MultinomialNB,-,0.591666667,0.582721143,,0.599418187,0.591236081,
make_classification,Classification,AdaBoost,n_estimators=150,0.5,0.497393281,,0.502108194,0.499841038,
make_moons,Classification,Logistic Regression,"max_iter=400, balanced=True",0.891666667,0.891478261,,0.894405594,0.891666667,
make_moons,Classification,SVM (RBF),"kernel=rbf, C=1.0, balanced=True",0.945833333,0.945824868,,0.946112153,0.945833333,
make_moons,Classification,Decision Tree,balanced=True,0.941666667,0.941630186,,0.942773601,0.941666667,
make_moons,Classification,Random Forest,"n_estimators=150, balanced=True",0.95,0.949986107,,0.950500556,0.95,
make_moons,Classification,KNN,n_neighbors=7,0.958333333,0.958321756,,0.958843159,0.958333333,
make_moons,Classification,GaussianNB,-,0.879166667,0.87869281,,0.885185185,0.879166667,
make_moons,Classification,MultinomialNB,-,0.8375,0.837271163,,0.839409177,0.8375,
make_moons,Classification,AdaBoost,n_estimators=150,0.958333333,0.958321756,,0.958843159,0.958333333,
make_circles,Classification,Logistic Regression,"max_iter=400, balanced=True",0.479166667,0.47763403,,0.478919261,0.479166667,
make_circles,Classification,SVM (RBF),"kernel=rbf, C=1.0, balanced=True",1,1,,1,1,
make_circles,Classification,Decision Tree,balanced=True,0.975,0.975,,0.975,0.975,
make_circles,Classification,Random Forest,"n_estimators=150, balanced=True",0.9875,0.987499783,,0.987533857,0.9875,
make_circles,Classification,KNN,n_neighbors=7,1,1,,1,1,
make_circles,Classification,GaussianNB,-,0.991666667,0.991666088,,0.991803279,0.991666667,
make_circles,Classification,MultinomialNB,-,0.479166667,0.477124183,,0.478835979,0.479166667,
make_circles,Classification,AdaBoost,n_estimators=150,0.9875,0.987499783,,0.987533857,0.9875,
make_blobs,Clustering,KMeans,n_clusters=3,0.842693759,,,,,Silhouette Score
make_blobs,Clustering,Agglomerative Clustering,n_clusters=3,0.842693759,,,,,Silhouette Score
Titanic,Classification,Logistic Regression,"max_iter=400, balanced=True",0.794776119,0.786423241,,0.783424908,0.791379818,
Titanic,Classification,SVM (RBF),"kernel=rbf, C=1.0, balanced=True",0.798507463,0.789980844,,0.787111953,0.794410121,
Titanic,Classification,Decision Tree,balanced=True,0.809701493,0.796191641,,0.801114341,0.792556634,
Titanic,Classification,Random Forest,"n_estimators=150, balanced=True",0.839552239,0.825918821,,0.838014981,0.818623124,
Titanic,Classification,KNN,n_neighbors=7,0.794776119,0.781094527,,0.784213685,0.778611356,
Titanic,Classification,GaussianNB,-,0.77238806,0.753047629,,0.762734082,0.747661077,
Titanic,Classification,MultinomialNB,-,0.768656716,0.754665722,,0.755676765,0.753751103,
