Dataset,Model,Accuracy,F1-Score,Precision,Recall
Wine,Random Forest,1.0,1.0,1.0,1.0
make_circles,SVM (RBF),1.0,1.0,1.0,1.0
Credit Card Fraud,Random Forest,0.9994616293903538,0.910021455415226,0.9858591629069744,0.8547121437047576
Digits,SVM (RBF),0.9833333333333332,0.9832814731575896,0.983795025728988,0.98315205758602
Breast Cancer,SVM (RBF),0.9766081871345028,0.9751814223512336,0.9725108225108224,0.978168808411215
MNIST,Random Forest,0.964904761904762,0.9646111117902862,0.9646697010978916,0.9645922474330132
make_moons,KNN,0.9583333333333334,0.9583217560433454,0.9588431590656286,0.9583333333333331
Iris,SVM (RBF),0.9333333333333332,0.9332591768631814,0.9345238095238096,0.9333333333333332
IMDB,SVM (RBF),0.8516666666666667,0.8516501375616234,0.8520728410377056,0.8518002940918648
Adult Income,AdaBoost,0.8486769366846023,0.7796872019602132,0.8112899463861015,0.7596967548946769
make_classification,Random Forest,0.8416666666666667,0.8419219820935916,0.8420108980889753,0.8418908334683736
Titanic,Random Forest,0.8395522388059702,0.8259188205259897,0.8380149812734082,0.8186231244483672
